a	(ā) 
derisive	(dĭ-rī'sĭv, -zĭv, -rĭs'ĭv, -rĭz'-) 
derivation	(děr'ə-vā'shən) 
derivative	(dĭ-rĭv'ə-tĭv) 
dermabrasion	(dûr'mə-brā'zhən) 
derma	(dûr'mə) 
dermapteran	(dər-māp'tər-ən) 
dermatitis	(dûr'mə-tī'tĭs) 
dermatogen	(dûr-māt'ə-jən) 
dermatology	(dûr'mə-tŏl'ə-jē) 
dermatome	(dûr'mə-tōm') 
dermatophyte	(dûr-māt'ə-fīt', dûr'mə-tə-) 
dermatophytosis	(dûr'mə-tō'fī-tō'sĭs) 
dermatoplasty	(dûr'mə-tō-plās'tē) 
dermatosis	(dûr'mə-tō'sĭs) 
dermis	(dûr'mĭs) 
derogate	(děr'ə-gāt') 
derogatory	(dĭ-rŏg'ə-tôr'ē, -tōr'ē) 
derringer	(děr'ĭn-jər) 
Derry	(děr'ē) 
desacralize	(dē-sā'krə-līz', -sāk'rə-) 
desalinate	(dē-sāl'ə-nāt') 
desalination	(dē-sāl'ə-nĭ-zā'shən) 
desalinization	(dē-sāl'ə-nĭ-zā'shən)
desalinize	(dē-sāl'ə-nīz') 
desalt	(dē-sôlt') 
descant	(děs'kānt') 
Descartes	(dā-kärt') 
descendant	(dĭ-sěn'dənt) 
descender	(dĭ-sěn'dər) 
descramble	(dē-skrām'bəl) 
descrambler	(dē-skrām'blər) 
describe	(dĭ-skrīb') 
description	(dĭ-skrĭp'shən) 
descriptive	(dĭ-skrĭp'tĭv) 
descriptivism	(dĭ-skrĭp'tə-vĭz'əm) 
descriptor	(dĭ-skrĭp'tər) 
DES	(dē'ē-ěs') 
desecrate	(děs'ĭ-krāt') 
desegregate	(dē-sěg'rĭ-gāt') 
desensitize	(dē-sěn'sĭ-tīz') 
desertification	(dĭ-zûr'tə-fĭ-kā'shən) 
desertion	(dĭ-zûr'shən) 
deserved	(dĭ-zûrvd') 
deserve	(dĭ-zûrv') 
deserving	(dĭ-zûr'vĭng) 
desex	(dē-sěks') 
desexualize	(dē-sěk'shōō-ə-līz') 
deshabille	(děs'ə-bēl', -bē') 
desiccant	(děs'ĭ-kənt) 
desiccate	(děs'ĭ-kāt') 
desiderate	(dĭ-sĭd'ə-rāt') 
desideratum	(dĭ-sĭd'ə-rā'təm, -rä'-) 
designate	(děz'ĭg-nāt') 
designation	(děz'ĭg-nā'shən) 
design	(dĭ-zīn') 
designing	(dĭ-zī'nĭng) 
desinence	(děs'ə-nəns) 
desipramine	(dĭ-zĭp'rə-mēn, děz'ə-prām'ĭn) 
desirable	(dĭ-zīr'ə-bəl) 
desirous	(dĭ-zīr'əs) 
desk	(děsk) 
desolate	(děs'ə-lĭt, děz'-) 
desolation	(děs'ə-lā'shən, děz'-) 
desorb	(dē-sôrb', -zôrb') 
desperado	(děs'pə-rä'dō, -rā'-) 
desperate	(děs'pər-ĭt) 
desperation	(děs'pə-rā'shən) 
despicable	(dĭ-spĭk'ə-bəl, děs'pĭ-kə-) 
despiteful	(dĭ-spīt'fəl) 
despoil	(dĭ-spoil') 
despoliation	(dĭ-spō'lē-ā'shən) 
despond	(dĭ-spŏnd') 
despondence	(dĭ-spŏn'dəns) 
despondency	(dĭ-spŏn'dən-sē) 
despotism	(děs'pə-tĭz'əm) 
desquamate	(děs'kwə-māt') 
dessertspoon	(dĭ-zûrt'spōōn') 
destabilize	(dē-stā'bə-līz') 
desterilize	(dē-stěr'ə-līz') 
destination	(děs'tə-nā'shən) 
destitute	(děs'tĭ-tōōt', -tyōōt') 
destitution	(děs'tĭ-tōō'shən, -tyōō'-) 
destroyer	(dĭ-stroi'ər) 
destructible	(dĭ-strŭk'tə-bəl) 
destruction	(dĭ-strŭk'shən) 
destructionist	(dĭ-strŭk'shə-nĭst) 
destructive	(dĭ-strŭk'tĭv) 
destructor	(dĭ-strŭk'tər) 
desuetude	(děs'wĭ-tōōd', -tyōōd') 
desulfurize	(dē-sŭl'fə-rīz') 
desultory	(děs'əl-tôr'ē, -tōr'ē, děz'-) 
detach	(dĭ-tāch') 
detached	(dĭ-tācht') 
detachment	(dĭ-tāch'mənt) 
detain	(dĭ-tān') 
detection	(dĭ-těk'shən) 
detective	(dĭ-těk'tĭv) 
detention	(dĭ-těn'shən) 
deter	(dĭ-tûr') 
detergence	(dĭtûr'jəns) 
detergency	(dĭ-tûr'jən-sē) 
detergent	(dĭ-tûr'jənt) 
deteriorate	(dĭ-tîr'ē-ə-rāt') 
determinable	(dĭ-tûr'mə-nə-bəl) 
determinacy	(dĭ-tûr'mə-nə-sē) 
determinant	(dĭ-tûr'mə-nənt) 
determinate	(dĭ-tûr'mə-nĭt) 
determination	(dĭ-tûr'mə-nā'shən) 
determinative	(dĭ-tûr'mə-nā'tĭv, -nə-) 
determined	(dĭ-tûr'mĭnd) 
determine	(dĭ-tûr'mĭn) 
determiner	(dĭ-tûr'mə-nər) 
determinism	(dĭ-tûr'mə-nĭz'əm) 
deterrence	(dĭ-tûr'əns, -tŭr'-) 
deterrent	(dĭ-tûr'ənt, -tŭr'-) 
detersive	(dĭ-tûr'sĭv, -zĭv) 
detestable	(dĭ-těs'tə-bəl) 
detestation	(dē'tě-stā'shən) 
dethrone	(dē-thrōn') 
detonation	(dět'n-ā'shən) 
detonator	(dět'n-ā'tər) 
detox	(dē-tŏks') 
detoxicate	(dē-tŏk'sĭ-kāt') 
detoxification	(dē-tŏk'sə-fĭ-kā'shən) 
detract	(dĭ-trākt') 
detraction	(dĭ-trāk'shən) 
detrain	(dē-trān') 
detribalize	(dē-trī'bə-līz') 
detrimental	(dět'rə-měn'tl) 
detriment	(dět'rə-mənt) 
detrition	(dĭ-trĭsh'ən) 
detumescence	(dē'tōō-měs'əns, -tyōō-) 
deuce	(dōōs, dyōōs) 
deuteragonist	(dōō'tə-rāg'ə-nĭst, dyōō-) 
deuteranopia	(dōō'tər-ə-nō'pē-ə, dyōō'-) 
deuterate	(dōō'tə-rāt', dyōō'-) 
deuterium	(dōō-tîr'ē-əm, dyōō-) 
deuterium	(d-tîr'ē-əm) 
deuterogamy	(dōō'tə-rŏg'ə-mē, dyōō'-) 
deuteromycete	(d'tə-rō-mī'sēt') 
Deuteronomy	(dōō'tə-rŏn'ə-mē, dyōō'-) 
deuterostome	(d'tə-rō-stōm') 
deutoplasm	(dōō'tə-plāz'əm, dyōō'-) 
deutsche mark	(doich' märk') 
devalue	(dē-vāl'yōō) 
Devanagari	(dā'və-nä'gə-rē) 
devastate	(děv'ə-stāt') 
developer	(dĭ-věl'ə-pər) 
development	(dĭ-věl'əp-mənt) 
développé	(də-věl'ə-pā') 
deverbative	(dē-vûr'bə-tĭv) 
deviation	(dē'vē-ā'shən) 
Devi	(dā'vē) 
devil	(děv'əl) 
devilfish	(děv'əl-fĭsh') 
devilish	(děv'ə-lĭsh) 
devilment	(děv'əl-mənt) 
devilwood	(děv'əl-wŏŏd') 
devious	(dē'vē-əs) 
devitalize	(dē-vīt'l-īz') 
devitrify	(dē-vĭt'rə-fī') 
devocalize	(dē-vō'kə-līz') 
devoice	(dē-vois') 
devolatilize	(dē-vŏl'ə-tl-īz') 
devolution	(děv'ə-lōō'shən, dē'və-) 
devolve	(dĭ-vŏlv') 
Devon	(děv'ən) 
devoted	(dĭ-vō'tĭd) 
devote	(dĭ-vōt') 
devotional	(dĭ-vō'shə-nəl) 
devout	(dĭ-vout') 
dewan	(dĭ-wän') 
Dewar	(dōō'ər, dyōō'-) 
dew	(d) 
dew	(dōō, dyōō) 
Dewey	(dōō'ē, dyōō'ē) 
dewy	(dōō'ē, dyōō'ē) 
dexamethasone	(děk'sə-měth'ə-sōn', -zōn') 
dex	(děks) 
Dexedrine	(děk'sĭ-drĭn, -drēn') 
dexie	(děk'sē) 
dexterity	(děk-stěr'ĭ-tē) 
dexterous	(děk'stər-əs, -strəs) 
dextral	(děk'strəl) 
dextroamphetamine	(děk'strō-ām-fět'ə-mēn', -mĭn) 
dextroglucose	(děk'strə-glōō'kōs') 
dextrorotation	(děk'strə-rō-tā'shən) 
dextrorotatory	(děk'strə-rō'tə-tôr'ē) 
dextrorse	(děk'strôrs') 
dextrose	(děk'strōs') 
dey	(dā) 
dharma	(där'mə, dûr'-) 
Dhaulagiri	(dou'lə-gîr'ē) 
dhole	(dōl) 
dhoti	(dō'tē) 
dhow	(dou) 
diablerie	(dē-ä'blə-rē, -āb'lə-) 
diabolical	(dī'ə-bŏl'ĭ-kəl) 
diabolism	(dī-āb'ə-lĭz'əm) 
diabolize	(dī-āb'ə-līz') 
diachrony	(dī-āk'rə-nē) 
diaconate	(dī-āk'ə-nĭt, -nāt') 
diacritic	(dī'ə-krĭt'ĭk) 
diaeresis	(dī-ěr'ĭ-sĭs)
diaeresis	(dī-ěr'ĭ-sĭs) 
diagenesis	(dī'ə-jěn'ĭ-sĭs) 
diageotropism	(dī'ə-jē-ŏt'rə-pĭz'əm) 
diagnosis	(dī'əg-nō'sĭs) 
diagnostic	(dī'əg-nŏs'tĭk) 
diagnostician	(dī'əg-nŏ-stĭsh'ən) 
diakinesis	(dī'ə-kə-nē'sĭs, -kī-) 
dial	(dī'əl, dīl) 
dialectic	(dī'ə-lěk'tĭk) 
dialectician	(dī'ə-lěk-tĭsh'ən) 
dialectology	(dī'ə-lěk-tŏl'ə-jē) 
dialog	(dī'ə-lôg', -lŏg')
dialogist	(dī-āl'ə-jĭst, dī'ə-lô'gĭst, -lŏg'ĭst) 
dialogue	(dī'ə-lôg', -lŏg')
dialyze	(dī'ə-līz') 
diamagnet	(dī'ə-māg'nĭt) 
diamagnetic	(dī'ə-māg-nět'ĭk) 
diamagnetism	(dī'ə-māg'nĭ-tĭz'əm) 
Diana	(dī-ān'ə) 
diapedesis	(dī'ə-pĭ-dē'sĭs) 
diaper	(dī'ə-pər, dī'pər) 
diaphanous	(dī-āf'ə-nəs) 
diaphoresis	(dī'ə-fə-rē'sĭs, dī-āf'ə-) 
diaphoretic	(dī'ə-fə-rět'ĭk, dī-āf'ə-) 
diaphragm	(dī'ə-frām') 
diaphysis	(dī-āf'ĭ-sĭs) 
diapophysis	(dī'ə-pŏf'ĭ-sĭs) 
diarrhea	(dī'ə-rē'ə) 
diarthrosis	(dī'är-thrō'sĭs) 
diary	(dī'ə-rē) 
diastasis	(dī-ās'tə-sĭs) 
diastrophism	(dī-ās'trə-fĭz'əm) 
diatessaron	(dī'ə-těs'ər-ən) 
diathermy	(dī'ə-thûr'mē) 
diathesis	(dī-āth'ĭ-sĭs) 
diatomite	(dī-āt'ə-mīt') 
diatonic	(dī'ə-tŏn'ĭk) 
diatropism	(dī-āt'rə-pĭz'əm) 
diazo	(dī-āz'ō) 
diazonium	(dī'ə-zō'nē-əm) 
dibasic	(dī-bā'sĭk) 
dibranchiate	(dī-brāng'kē-ĭt) 
dibromide	(dī-brō'mīd', -mĭd) 
dice	(dīs) 
dicer	(dī'sər) 
dicey	(dī'sē) 
dichasium	(dī-kā'zē-əm, -zhē-əm, -zhəm) 
dichloride	(dī-klôr'īd', -klōr'-) 
dichlorodiphenyltrichloroethane	(dī-klôr'ō-dī-fěn'əl-trī-klôr'ō-ěth'ān', -klōr'-, -fē'nəl-, dī-klōr'-) 
dichlorvos	(dī-klôr'vōs', -vəs, -klōr'-) 
dichogamous	(dī-kŏg'ə-məs) 
dichondra	(dī-kŏn'drə) 
dichotomize	(dī-kŏt'ə-mīz') 
dichotomous	(dī-kŏt'ə-məs) 
dichotomy	(dī-kŏt'ə-mē) 
dichroism	(dī'krō-ĭz'əm) 
dichroite	(dī-krō'īt') 
dichromate	(dī-krō'māt', dī'krō-) 
dichromatism	(dī-krō'mə-tĭz'əm) 
dichromism	(dī-krō'mĭz'əm) 
dickcissel	(dĭk-sĭs'əl, dĭk'sĭs'-) 
dick	(dĭk) 
Dick	(dĭk) 
Dickens	(dĭk'ĭnz) 
dickey	(dĭk'ē)
dickie	(dĭk'ē)
dicky	(dĭk'ē)
dicky	(dĭk'ē) 
diclinous	(dī-klī'nəs) 
dicot	(dī'kŏt'l-ēd'n) 
dicotyledon	(dī'kŏt'l-ēd'n)
dicotyledon	(dī'kŏt'l-ēd'n) 
dicrotism	(dī'krə-tĭz'əm) 
Dictaphone	(dĭk'tə-fōn') 
dictation	(dĭk-tā'shən) 
dictatorship	(dĭk-tā'tər-shĭp', dĭk'tā'-) 
dictionary	(dĭk'shə-něr'ē) 
dictyosome	(dĭk'tē-ə-sōm') 
didactic	(dī-dāk'tĭk) 
didgeridoo	(dĭj'ə-rē-dōō', dĭj'ə-rē-dōō')
didjeridoo	(dĭj'ə-rē-dōō', dĭj'ə-rē-dōō')
dido	(dī'dō) 
Dido	(dī'dō) 
die	(dī) 
dieffenbachia	(dē'fən-bä'kē-ə, -bāk'ē-ə) 
dielectric	(dī'ĭ-lěk'trĭk) 
diencephalon	(dī'ěn-sěf'ə-lŏn', -lən) 
dieresis	(dī-ěr'ĭ-sĭs)
Diesel	(dē'zəl) 
diesel	(dē'zəl, -səl) 
diesel engine	(dē'zəl) 
diesinker	(dī'sĭng'kər) 
diestrus	(dī-ěs'trəs) 
diet	(dī'ĭt) 
dietetics	(dī'ĭ-tět'ĭks) 
diethylstilbestrol	(dī-ěth'əl-stĭl-běs'trôl', -trōl') 
dietician	(dī'ĭ-tĭsh'ən)
dietitian	(dī'ĭ-tĭsh'ən)
diff	(dĭf) 
difference	(dĭf'ər-əns, dĭf'rəns) 
different	(dĭf'ər-ənt, dĭf'rənt) 
differentiable	(dĭf'ə-rěn'shə-bəl, -shē-ə-) 
differentia	(dĭf'ə-rěn'shē-ə, -shə) 
differential	(dĭf'ə-rěn'shəl) 
differentiate	(dĭf'ə-rěn'shē-āt') 
differentiation	(dĭf'ə-rěn'shē-ā'shən) 
difficulty	(dĭf'ĭ-kŭl'tē, -kəl-) 
diffidence	(dĭf'ĭ-dəns, -děns') 
diffract	(dĭ-frākt') 
diffraction	(dĭ-frāk'shən) 
diffuse	(dĭ-fyōōz') 
diffusion	(dĭ-fyōō'zhən) 
diffusion	(dĭ-fy'zhən) 
diffusive	(dĭ-fyōō'sĭv, -zĭv) 
digamy	(dĭg'ə-mē) 
digastric	(dī-gās'trĭk) 
dig	(dĭg) 
digestible	(dī-jěs'tə-bəl, dĭ-) 
digestion	(dī-jěs'chən) 
digestion	(dī-jěs'chən, dĭ-) 
digestive	(dī-jěs'tĭv, dĭ-) 
digger	(dĭg'ər) 
dight	(dīt) 
digitalin	(dĭj'ĭ-tāl'ĭn) 
digitalis	(dĭj'ĭ-tāl'ĭs) 
digitalize	(dĭj'ĭ-tl-īz') 
digitation	(dĭj'ĭ-tā'shən) 
digit	(dĭj'ĭt) 
digitigrade	(dĭj'ĭ-tĭ-grād') 
digitize	(dĭj'ĭ-tīz') 
digitoxin	(dĭj'ĭ-tŏk'sĭn) 
diglossia	(dī-glô'sē-ə, -glŏs'ē-ə) 
diglyceride	(dī-glĭs'ə-rīd') 
dignitary	(dĭg'nĭ-těr'ē) 
digression	(dī-grěsh'ən, dĭ-) 
digressive	(dī-grěs'ĭv, dĭ-) 
dike	(dīk) 
dilapidate	(dĭ-lāp'ĭ-dāt') 
dilatancy	(dī-lāt'n-sē, dĭ-) 
dilatation	(dĭl'ə-tā'shən, dī'lə-) 
dilatator	(dĭl'ə-tā'tər, dī'lə-) 
dilate	(dī-lāt', dī'lāt') 
dilatometer	(dĭl'ə-tŏm'ĭ-tər, dī'lə-) 
dilatory	(dĭl'ə-tôr'ē, -tōr'ē) 
dilettante	(dĭl'ĭ-tänt', dĭl'ĭ-tänt', -tän'tē, -tānt', -tān'tē) 
diligence	(dĭl'ə-jəns) 
diligence	(dĭl'ə-jəns, dē'lē-zhäɴs') 
dill	(dĭl) 
dilly	(dĭl'ē) 
dim	(dĭm) 
dime	(dīm) 
dimenhydrinate	(dī'měn-hī'drə-nāt') 
dimension	(dĭ-měn'shən) 
dimension	(dĭ-měn'shən, dī-) 
dimercaprol	(dī'mər-kāp'rôl, -rōl) 
dimer	(dī'mər) 
dimethoate	(dī-měth'ō-āt') 
dimethylnitrosamine	(dī-měth'əl-nī-trō'sə-mēn', -nī'trō-sām'ĭn) 
dimethylsulfoxide	(dī-měth'əl-sŭl-fŏk'sīd') 
dimetrodon	(dī-mět'rə-dŏn') 
diminish	(dĭ-mĭn'ĭsh) 
diminuendo	(dĭ-mĭn'yōō-ěn'dō) 
diminution	(dĭm'ə-nōō'shən, -nyōō'-) 
diminutive	(dĭ-mĭn'yə-tĭv) 
dimorphism	(dī-môr'fĭz'əm) 
dimwit	(dĭm'wĭt') 
dinar	(dĭ-när', dē'när') 
din	(dĭn) 
dine	(dīn) 
Dine	(dīn) 
Diné	(dĭ'ně') 
diner	(dī'nər) 
ding	(dĭng) 
dinge	(dĭnj) 
dingleberry	(dĭng'gəl-běr'ē) 
dingo	(dĭng'gō) 
dingy	(dĭng'ē) 
dingy	(dĭn'jē) 
dinitrobenzene	(dī-nī'trō-běn'zēn') 
dinitrobenzene	(dī-nī'trō-běn'zēn', -běn-zēn') 
Dinka	(dĭng'kə) 
dink	(dĭngk) 
dink	(dĭnk)
DINK	(dĭnk)
dinky	(dĭng'kē) 
dinnertime	(dĭn'ər-tīm') 
dinnerware	(dĭn'ər-wâr') 
dinoflagellate	(dī'nō-flāj'ə-lĭt) 
dinoflagellate	(dī'nō-flāj'ə-lĭt, -lāt', -flə-jěl'ĭt) 
dinothere	(dī'nə-thîr') 
dint	(dĭnt) 
dinucleotide	(dī-nōō'klē-ə-tīd', -nyōō'-) 
diode	(dī'ōd') 
dioecious	(dī-ē'shəs) 
diol	(dī'ôl, -ŏl) 
Dionysiac	(dī'ə-nĭs'ē-āk') 
dioptometer	(dī'ŏp-tŏm'ĭ-tər) 
dip	(dĭp) 
dipeptidase	(dī-pěp'tĭ-dās', -dāz') 
dipeptide	(dī-pěp'tīd') 
diphenylamine	(dī-fěn'əl-ə-mēn', -ām'ĭn, -fē'nəl-) 
diphenylhydantoin	(dī-fěn'əl-hī-dān'tō-ĭn, -fē'nəl-) 
diphenylketone	(dī-fěn'əl-kē'tōn, -fē'nəl-) 
diphosgene	(dī-fŏz'jēn') 
diphosphate	(dī-fŏs'fāt') 
diphtheria	(dĭf-thîr'ē-ə, dĭp-) 
diphthong	(dĭf'thông', -thŏng', dĭp'-) 
diphthongize	(dĭf'thông-īz', -thŏng-, dĭp'-) 
diphyodont	(dī-fī'ə-dŏnt') 
diplococcus	(dĭp'lō-kŏk'əs) 
diplodocus	(dĭ-plŏd'ə-kəs) 
diplodocus	(dĭ-plŏd'ə-kəs, dī-) 
diplomacy	(dĭ-plō'mə-sē) 
diplomate	(dĭp'lə-māt') 
diplomatic	(dĭp'lə-māt'ĭk) 
diplomatist	(dĭ-plō'mə-tĭst) 
dipper	(dĭp'ər) 
Dipper	(dĭp'ər) 
dippy	(dĭp'ē) 
dipropellant	(dī'prə-pěl'ənt) 
dipso	(dĭp'sō) 
dipsomania	(dĭp'sə-mā'nē-ə, -mān'yə) 
dipyridamole	(dī-pĭr'ĭ-də-mōl', -pə-rĭd'ə-) 
direct current	(dĭ-rěkt') 
directional	(dĭ-rěk'shə-nəl, dī-) 
direction	(dĭ-rěk'shən, dī-) 
directive	(dĭ-rěk'tĭv, dī-) 
directorate	(dĭ-rěk'tər-ĭt, dī-) 
director	(dĭ-rěk'tər, dī-) 
directory	(dĭ-rěk'tə-rē, dī-) 
directrix	(dĭ-rěk'trĭks) 
directrix	(dĭ-rěk'trĭks, dī-) 
dire	(dīr) 
direful	(dīr'fəl) 
dirge	(dûrj) 
dirigible	(dĭr'ə-jə-bəl, də-rĭj'ə-bəl) 
dirk	(dûrk) 
dirt	(dûrt) 
dirty	(dûr'tē) 
disability	(dĭs'ə-bĭl'ĭ-tē) 
disable	(dĭs-ā'bəl) 
disaccharidase	(dī-sāk'ər-ĭ-dās', -dāz') 
disaccharide	(dī-sāk'ə-rīd') 
disaccord	(dĭs'ə-kôrd') 
disaccustom	(dĭs'ə-kŭs'təm) 
disadvantaged	(dĭs'əd-vān'tĭjd) 
disadvantage	(dĭs'əd-vān'tĭj) 
disaffect	(dĭs'ə-fěkt') 
disaffiliate	(dĭs'ə-fĭl'ē-āt') 
disaffirm	(dĭs'ə-fûrm') 
disaggregate	(dĭs-āg'rĭ-gāt') 
disagreeable	(dĭs'ə-grē'ə-bəl) 
disagreement	(dĭs'ə-grē'mənt) 
disallow	(dĭs'ə-lou') 
disambiguate	(dĭs'ām-bĭg'yōō-āt') 
disannul	(dĭs'ə-nŭl') 
disappear	(dĭs'ə-pîr') 
disappoint	(dĭs'ə-point') 
disappointment	(dĭs'ə-point'mənt) 
Disappointment	(dĭs'ə-point'mənt) 
disapprobation	(dĭs-āp'rə-bā'shən) 
disapproval	(dĭs'ə-prōō'vəl) 
disapprove	(dĭs'ə-prōōv') 
disarmament	(dĭs-är'mə-mənt) 
disarrange	(dĭs'ə-rānj') 
disarticulate	(dĭs'är-tĭk'yə-lāt') 
disassemble	(dĭs'ə-sěm'bəl) 
disassociate	(dĭs'ə-sō'shē-āt', -sē-) 
disastrous	(dĭ-zās'trəs, -sās'-) 
disavow	(dĭs'ə-vou') 
disband	(dĭs-bānd') 
disbar	(dĭs-bär') 
disbelief	(dĭs'bĭ-lēf') 
disbelieve	(dĭs'bĭ-lēv') 
disbranch	(dĭs-brānch') 
disburden	(dĭs-bûr'dn) 
disbursal	(dĭs-bûr'səl) 
disburse	(dĭs-bûrs') 
disbursement	(dĭs-bûrs'mənt) 
discard	(dĭ-skärd') 
disc	(dĭsk)
disc	(dĭsk) 
discern	(dĭ-sûrn', -zûrn') 
discernment	(dĭ-sûrn'mənt, -zûrn'-) 
discharge	(dĭs-chärj') 
disciple	(dĭ-sī'pəl) 
disciplinarian	(dĭs'ə-plə-nâr'ē-ən) 
disciplinary	(dĭs'ə-plə-něr'ē) 
discipline	(dĭs'ə-plĭn) 
disclaimer	(dĭs-klā'mər) 
disclamation	(dĭs'klə-mā'shən) 
disclimax	(dĭs-klī'māks') 
disclose	(dĭ-sklōz') 
disclosure	(dĭ-sklō'zhər) 
disco	(dĭs'kō) 
discography	(dĭ-skŏg'rə-fē) 
discoloration	(dĭs-kŭl'ə-rā'shən) 
discombobulate	(dĭs'kəm-bŏb'yə-lāt') 
discomfit	(dĭs-kŭm'fĭt) 
discomfiture	(dĭs-kŭm'fĭ-chŏŏr', -chər) 
discomfort	(dĭs-kŭm'fərt) 
discommend	(dĭs'kə-měnd') 
discommode	(dĭs'kə-mōd') 
discompose	(dĭs'kəm-pōz') 
discomposure	(dĭs'kəm-pō'zhər) 
disconcert	(dĭs'kən-sûrt') 
disconformity	(dĭs'kən-fôr'mĭ-tē) 
disconnect	(dĭs'kə-někt') 
disconnected	(dĭs'kə-něk'tĭd) 
disconsolate	(dĭs-kŏn'sə-lĭt) 
discontent	(dĭs'kən-těnt') 
discontented	(dĭs'kən-těn'tĭd) 
discontinuance	(dĭs'kən-tĭn'yōō-əns) 
discontinuation	(dĭs'kən-tĭn'yōō-ā'shən) 
discontinue	(dĭs'kən-tĭn'yōō) 
discontinuity	(dĭs-kŏn'tə-n'ĭ-tē) 
discontinuity	(dĭs-kŏn'tə-nōō'ĭ-tē, -nyōō'-) 
discontinuous	(dĭs'kən-tĭn'y-əs) 
discontinuous	(dĭs'kən-tĭn'yōō-əs) 
discophile	(dĭs'kə-fīl') 
discordance	(dĭ-skôr'dns) 
discordant	(dĭ-skôr'dnt) 
discountenance	(dĭs-koun'tə-nəns) 
discounter	(dĭs-koun'tər) 
discourage	(dĭ-skûr'ĭj, -skŭr'-) 
discouragement	(dĭ-skûr'ĭj-mənt, -skŭr'-) 
discourse	(dĭs'kôrs', -kōrs') 
discourteous	(dĭs-kûr'tē-əs) 
discourtesy	(dĭs-kûr'tĭ-sē) 
discover	(dĭ-skŭv'ər) 
discovery	(dĭ-skŭv'ə-rē) 
discredit	(dĭs-krěd'ĭt) 
discreet	(dĭ-skrēt') 
discrepance	(dĭ-skrěp'əns) 
discrepancy	(dĭ-skrěp'ən-sē) 
discrete	(dĭ-skrēt') 
discretion	(dĭ-skrěsh'ən) 
discriminability	(dĭ-skrĭm'ə-nə-bĭl'ĭ-tē) 
discriminant	(dĭ-skrĭm'ə-nənt) 
discriminate	(dĭ-skrĭm'ə-nāt') 
discrimination	(dĭ-skrĭm'ə-nā'shən) 
discriminator	(dĭ-skrĭm'ə-nā'tər) 
discursive	(dĭ-skûr'sĭv) 
discussant	(dĭ-skŭs'ənt) 
discuss	(dĭ-skŭs') 
discussion	(dĭ-skŭsh'ən) 
disdainful	(dĭs-dān'fəl) 
dis	(dĭs)
Dis	(dĭs) 
disembark	(dĭs'ěm-bärk') 
disembarrass	(dĭs'ěm-bār'əs) 
disembody	(dĭs'ěm-bŏd'ē) 
disembogue	(dĭs'ěm-bōg') 
disembowel	(dĭs'ěm-bou'əl) 
disemploy	(dĭs'ěm-ploi') 
disempower	(dĭs'ěm-pou'ər) 
disenable	(dĭs'ě-nā'bəl) 
disenchant	(dĭs'ěn-chānt') 
disencumber	(dĭs'ěn-kŭm'bər) 
disendow	(dĭs'ěn-dou') 
disenfranchise	(dĭs'ěn-frān'chīz') 
disengage	(dĭs'ěn-gāj') 
disentail	(dĭs'ěn-tāl') 
disentangle	(dĭs'ěn-tāng'gəl) 
disenthrall	(dĭs'ěn-thrôl') 
disentomb	(dĭs'ěn-tōōm') 
disentwine	(dĭs'ěn-twīn') 
disequilibrate	(dĭs'ĭ-kwĭl'ə-brāt') 
disequilibrium	(dĭs-ē'kwə-lĭb'rē-əm, -ěk'wə-) 
disestablish	(dĭs'ĭ-stāb'lĭsh) 
disestablishmentarian	(dĭs'ĭ-stāb'lĭsh-mən-târ'ē-ən)
Disestablishmentarian	(dĭs'ĭ-stāb'lĭsh-mən-târ'ē-ən)
disesteem	(dĭs'ĭ-stēm') 
disfeature	(dĭs-fē'chər) 
disfigure	(dĭs-fĭg'yər) 
disfranchise	(dĭs-frān'chīz') 
disfunction	(dĭs-fŭngk'shən) 
disgorge	(dĭs-gôrj') 
disgrace	(dĭs-grās') 
disgraceful	(dĭs-grās'fəl) 
disgruntle	(dĭs-grŭn'tl) 
disguise	(dĭs-gīz') 
dishabille	(dĭs'ə-bēl', -bē') 
disharmonize	(dĭs-här'mə-nīz') 
disharmony	(dĭs-här'mə-nē) 
dishcloth	(dĭsh'klôth', -klŏth') 
dish	(dĭsh) 
dishearten	(dĭs-här'tn) 
dishevel	(dĭ-shěv'əl) 
dishonesty	(dĭs-ŏn'ĭ-stē) 
dishonorable	(dĭs-ŏn'ər-ə-bəl) 
dishonor	(dĭs-ŏn'ər) 
dishtowel	(dĭsh'tou'əl) 
dishwasher	(dĭsh'wŏsh'ər, -wô'shər) 
dishwashing	(dĭsh'wŏsh'ĭng, -wô'shĭng) 
dishwater	(dĭsh'wô'tər, -wŏt'ər) 
dishy	(dĭsh'ē) 
disillusion	(dĭs'ĭ-lōō'zhən) 
disincarnate	(dĭs'ĭn-kär'nĭt) 
disincentive	(dĭs'ĭn-sěn'tĭv) 
disinclination	(dĭs-ĭn'klə-nā'shən) 
disincline	(dĭs'ĭn-klīn') 
disincorporate	(dĭs'ĭn-kôr'pə-rāt') 
disinfectant	(dĭs'ĭn-fěk'tənt) 
disinfect	(dĭs'ĭn-fěkt') 
disinfestant	(dĭs'ĭn-fěs'tənt) 
disinfest	(dĭs'ĭn-fěst') 
disinflation	(dĭs'ĭn-flā'shən) 
disinformation	(dĭs-ĭn'fər-mā'shən) 
disinform	(dĭs'ĭn-fôrm') 
disingenuous	(dĭs'ĭn-jěn'yōō-əs) 
disinherit	(dĭs'ĭn-hěr'ĭt) 
