a	(ā) 
acceptance	(āk-sěp'təns) 
acceptant	(āk-sěp'tənt) 
acceptation	(āk'sěp-tā'shən) 
access	(āk'sěs) 
accessible	(āk-sěs'ə-bəl) 
accession	(āk-sěsh'ən) 
accessorize	(āk-sěs'ə-rīz') 
accessory	(āk-sěs'ə-rē) 
acciaccatura	(ä-chä'kə-tŏŏr'ə) 
accidence	(āk'sĭ-dəns, -děns') 
accidental	(āk'sĭ-děn'tl) 
accipiter	(āk-sĭp'ĭ-tər) 
acclaim	(ə-klām') 
acclamation	(āk'lə-mā'shən) 
acclimate	(ə-klī'mĭt, āk'lə-māt') 
acclimation	(āk'lə-mā'shən) 
acclimatization	(ə-klī'mə-tĭ-zā'shən) 
acclimatize	(ə-klī'mə-tīz') 
acclivity	(ə-klĭv'ĭ-tē) 
accommodate	(ə-kŏm'ə-dāt') 
accommodation	(ə-kŏm'ə-dā'shən) 
accommodationist	(ə-kŏm'ə-dā'shə-nĭst) 
accompaniment	(ə-kŭm'pə-nē-mənt, ə-kŭmp'nē-) 
accompanist	(ə-kŭm'pə-nĭst, ə-kŭmp'nĭst) 
accompany	(ə-kŭm'pə-nē, ə-kŭmp'nē) 
accomplice	(ə-kŏm'plĭs) 
accomplish	(ə-kŏm'plĭsh) 
accomplishment	(ə-kŏm'plĭsh-mənt) 
accordance	(ə-kôr'dns) 
accord	(ə-kôrd') 
accordion	(ə-kôr'dē-ən) 
accost	(ə-kôst', ə-kŏst') 
accouchement	(ä'kōōsh-mäɴ') 
accountable	(ə-koun'tə-bəl) 
accountant	(ə-koun'tənt) 
account	(ə-kount') 
accounting	(ə-koun'tĭng) 
accouterment	(ə-kōō'tər-mənt, -trə-)
accoutrement	(ə-kōō'tər-mənt, -trə-)
Accra	(āk'rə, ə-krä') 
accreditation	(ə-krěd'ĭ-tā'shən) 
accretion	(ə-krē'shən) 
accrue	(ə-krōō') 
acculturate	(ə-kŭl'chə-rāt') 
acculturation	(ə-kŭl'chə-rā'shən) 
accumulate	(ə-kyōōm'yə-lāt') 
accumulation	(ə-kyōōm'yə-lā'shən) 
accumulator	(ə-kyōōm'yə-lā'tər) 
accurate	(āk'yər-ĭt) 
accursed	(ə-kûr'sĭd, ə-kûrst') 
accusation	(āk'yōō-zā'shən) 
accusative	(ə-kyōō'zə-tĭv) 
accuse	(ə-kyōōz') 
ace	(ās) 
acedia	(ə-sē'dē-ə) 
acerb	(ə-sûrb') 
acerbic	(ə-sûr'bĭk) 
acervulus	(ə-sûr'vyə-ləs) 
acetabulum	(ās'ĭ-tāb'yə-ləm) 
acetal	(ās'ĭ-tāl') 
acetaldehyde	(ās'ĭ-tāl'də-hīd') 
acetamide	(ə-sět'ə-mīd', ās'ĭt-ām'īd') 
acetaminophen	(ə-sē'tə-mĭn'ə-fən, ās'ə-) 
acetanilide	(ās'ĭt-ān'l-īd') 
acetify	(ə-sē'tə-fī', ə-sět'ə-) 
acetophenetidin	(ās'ĭ-tō-fə-nět'ĭ-dĭn, ə-sē'tō-) 
acetum	(ə-sē'təm) 
acetylate	(ə-sět'l-āt') 
acetylcholine	(ə-sēt'l-kō'lēn') 
acetylcholinesterase	(ə-sēt'l-kō'lə-něs'tə-rās', -rāz') 
acetylene	(ə-sět'l-ēn', -ən) 
acetyl	(ə-sēt'l, ās'ĭ-tl) 
Achaemenid	(ə-kē'mə-nĭd, -kěm'ə-) 
achalasia	(āk'ə-lā'zhə) 
ache	(āk) 
achievement	(ə-chēv'mənt) 
aching	(ā'kĭng) 
achira	(ə-chîr'ə) 
achlorhydria	(ā'klôr-hī'drē-ə, ā'klōr-) 
achondrite	(ā-kŏn'drīt') 
achondroplasia	(ā-kŏn'drō-plā'zhə, -zhē-ə) 
achromatic	(āk'rə-māt'ĭk) 
achromatin	(ā-krō'mə-tĭn) 
achromatize	(ā-krō'mə-tīz') 
achy	(ā'kē) 
acidanthera	(ās'ĭ-dān'thər-ə) 
acid	(ās'ĭd) 
acidify	(ə-sĭd'ə-fī') 
acidimeter	(ās'ĭ-dĭm'ĭ-tər) 
acidophilic	(ās'ĭ-dō-fĭl'ĭk) 
acidulate	(ə-sĭj'ə-lāt') 
acinus	(ās'ə-nəs) 
ackee	(āk'ē, ə-kē') 
acknowledge	(āk-nŏl'ĭj) 
acknowledgement	(āk-nŏl'ĭj-mənt)
acknowledgment	(āk-nŏl'ĭj-mənt)
acme	(āk'mē) 
acne	(āk'nē) 
acoelomate	(ə-sē'lə-māt') 
Aconcagua	(āk'ən-kä'gwə, ä'kən-) 
aconite	(āk'ə-nīt') 
acorn	(ā'kôrn', ā'kərn) 
acoustician	(āk'ōō-stĭsh'ən) 
acquaintance	(ə-kwān'təns) 
acquiesce	(āk'wē-ěs') 
acquiescence	(āk'wē-ěs'əns) 
acquirement	(ə-kwīr'mənt) 
acquisition	(āk'wĭ-zĭsh'ən) 
