a	(ā) 
astrophysics	(ās'trō-fĭz'ĭks) 
astrosphere	(ās'trō-sfîr') 
AstroTurf	(ās'trō-tûrf') 
Asturias	(ə-stŏŏr'ē-əs, -styŏŏr'-, äs-tōō'ryäs) 
astute	(ə-stōōt', ə-styōōt') 
astylar	(ā-stī'lər) 
Asunción	(ä-sōōn'syōn') 
Aswan	(ās'wän, ās-wän', äs-) 
asylum	(ə-sī'ləm) 
asymmetry	(ā-sĭm'ĭ-trē) 
asymptote	(ās'ĭm-tōt') 
asymptote	(ās'ĭm-tōt', -ĭmp-) 
asynapsis	(ā'sĭ-nāp'sĭs) 
asynchronism	(ā-sĭng'krə-nĭz'əm) 
asyndeton	(ə-sĭn'dĭ-tŏn') 
Atabrine	(āt'ə-brĭn, -brēn') 
ataghan	(āt'ə-gān', -gən) 
ataman	(āt'ə-mān') 
ataractic	(āt'ə-rāk'tĭk) 
at	(ät) 
at	(āt; ət when unstressed) 
atavism	(āt'ə-vĭz'əm) 
ataxia	(ə-tāk'sē-ə) 
ate	(āt) 
Ate	(ā'tē, ä'tē, ä'tā) 
atelectasis	(āt'l-ěk'tə-sĭs) 
atelier	(āt'l-yā') 
atemoya	(ä'tə-moi'ə, āt'ə-) 
Athabascan	(āth'ə-bās'kən)
Athabaskan	(āth'ə-bās'kən)
Athapascan	(āth'ə-pās'kən) 
atheism	(ā'thē-ĭz'əm) 
atheist	(ā'thē-ĭst) 
atheling	(āth'ə-lĭng, āth'-) 
Athelstan	(āth'əl-stān') 
Athena	(ə-thē'nə) 
Athenian	(ə-thē'nē-ən) 
Athens	(āth'ənz) 
atherogenesis	(āth'ər-ō-jěn'ĭ-sĭs) 
atheroma	(āth'ə-rō'mə) 
atherosclerosis	(āth'ə-rō-sklə-rō'sĭs) 
athirst	(ə-thûrst') 
athlete	(āth'lēt') 
athletic	(āth-lět'ĭk) 
athodyd	(āth'ə-dĭd') 
athwart	(ə-thwôrt') 
athwartships	(ə-thwôrt'shĭps') 
atilt	(ə-tĭlt') 
Atlanta	(āt-lān'tə) 
Atlantic	(āt-lān'tĭk) 
Atlanticism	(āt-lān'tĭ-sĭz'əm) 
Atlantis	(āt-lān'tĭs) 
atlas	(āt'ləs) 
Atlas	(āt'ləs) 
atlatl	(ät-lät'l) 
atman	(ät'mən) 
atmometer	(āt-mŏm'ĭ-tər) 
atmosphere	(āt'mə-sfîr') 
atmospheric	(āt'mə-sfěr'ĭk, -sfîr'-) 
atoll	(āt'ôl', ā'tôl') 
atoll	(āt'ôl', -ŏl', ā'tôl', ā'tŏl') 
atom	(āt'əm) 
atomic	(ə-tŏm'ĭk) 
atomicity	(āt'ə-mĭs'ĭ-tē) 
atomism	(āt'ə-mĭz'əm) 
atomize	(āt'ə-mīz') 
atomizer	(āt'ə-mī'zər) 
atomy	(āt'ə-mē) 
atonalist	(ā-tō'nə-lĭst) 
atonality	(ā'tō-nāl'ĭ-tē) 
atone	(ə-tōn') 
atonement	(ə-tōn'mənt) 
atonic	(ā-tŏn'ĭk) 
atony	(āt'ə-nē, āt'n-ē) 
atop	(ə-tŏp') 
atopic	(ā-tŏp'ĭk) 
ATPase	(ā'tē-pē'ās, -āz) 
ATP	(ā'tē'pē') 
atrabilious	(āt'rə-bĭl'yəs) 
atresia	(ə-trē'zhə, -zhē-ə) 
atrial	(ā'trē-əl) 
atrip	(ə-trĭp') 
atrium	(ā'trē-əm) 
atrocious	(ə-trō'shəs) 
atrocity	(ə-trŏs'ĭ-tē) 
atrophy	(āt'rə-fē) 
atropine	(āt'rə-pēn', -pĭn) 
Atropos	(āt'rə-pŏs', -pəs) 
attaboy	(āt'ə-boi') 
attaché	(āt'ə-shā', ā-tā-) 
attach	(ə-tāch') 
attachment	(ə-tāch'mənt) 
attack	(ə-tāk') 
attainder	(ə-tān'dər) 
attain	(ə-tān') 
attainment	(ə-tān'mənt) 
attaint	(ə-tānt') 
attar	(āt'ər) 
Attar	(āt'ər, ə-tär') 
attelet	(āt'l-ā') 
attempt	(ə-těmpt') 
attendance	(ə-těn'dəns) 
attendant	(ə-těn'dənt) 
attendee	(ə-těn'dē', āt'ěn-) 
attend	(ə-těnd') 
attending	(ə-těn'dĭng) 
attention	(ə-těn'shən) 
attentive	(ə-těn'tĭv) 
attenuate	(ə-těn'yōō-āt') 
attenuator	(ə-těn'yōō-ā'tər) 
attest	(ə-těst') 
Attica	(āt'ĭ-kə) 
attic	(āt'ĭk) 
Attic	(āt'ĭk) 
Atticism	(āt'ĭ-sĭz'əm) 
Attila	(āt'l-ə, ə-tĭl'ə) 
attire	(ə-tīr') 
attitude	(āt'ĭ-tōōd', -tyōōd') 
attitudinize	(āt'ĭ-tōōd'n-īz', -tyōōd'-) 
attorn	(ə-tûrn') 
attorney	(ə-tûr'nē) 
attotesla	(āt'ō-těs'lə) 
attractancy	(ə-trāk'tən-sē) 
attractant	(ə-trāk'tənt) 
attract	(ə-trākt') 
attraction	(ə-trāk'shən) 
attractive	(ə-trāk'tĭv) 
attractor	(ə-trāk'tər) 
attribute	(ə-trĭb'yōōt) 
attribution	(āt'rə-byōō'shən) 
attributive	(ə-trĭb'yə-tĭv) 
attrit	(ə-trĭt') 
attrition	(ə-trĭsh'ən) 
attune	(ə-tōōn', ə-tyōōn') 
atypical	(ā-tĭp'ĭ-kəl) 
aubade	(ō-bäd') 
aubergine	(ō'běr-zhēn', ō'bər-jēn) 
auburn	(ô'bərn) 
Auburn	(ô'bərn) 
Aubusson	(ō'bə-sən, -sôɴ') 
auctioneer	(ôk'shə-nîr') 
auction	(ôk'shən) 
aucuba	(ô'kyə-bə) 
audacious	(ô-dā'shəs) 
audacity	(ô-dās'ĭ-tē) 
Auden	(ôd'n) 
audible	(ô'də-bəl) 
audience	(ô'dē-əns) 
audile	(ô'dīl') 
audiocassette	(ô'dē-ō-kə-sět', -kā-) 
audiogram	(ô'dē-ə-grām') 
audiology	(ô'dē-ŏl'ə-jē) 
audiometer	(ô'dē-ŏm'ĭ-tər) 
audio	(ô'dē-ō') 
audiophile	(ô'dē-ə-fīl') 
audiotape	(ô'dē-ō-tāp') 
audition	(ô-dĭsh'ən) 
auditive	(ô'dĭ-tĭv) 
audit	(ô'dĭt) 
auditorium	(ô'dĭ-tôr'ē-əm, -tōr'-) 
auditor	(ô'dĭ-tər) 
auditory	(ô'dĭ-tôr'ē) 
auditory	(ô'dĭ-tôr'ē, -tōr'ē) 
Aufklärung	(ouf'klā'rŏŏng) 
Augean	(ô-jē'ən) 
augend	(ô'jěnd') 
auger	(ô'gər) 
aught	(ôt) 
augite	(ô'jīt') 
augmentation	(ôg'měn-tā'shən) 
augmentative	(ôg-měn'tə-tĭv) 
augment	(ôg-měnt') 
augur	(ô'gər) 
augury	(ô'gyə-rē) 
Augustan	(ô-gŭs'tən) 
Augusta	(ô-gŭs'tə, ə-gŭs'-) 
Augustine	(ô'gə-stēn', ô-gŭs'tĭn) 
Augustinian	(ô'gə-stĭn'ē-ən) 
August	(ô'gəst) 
august	(ô-gŭst') 
Augustus	(ô-gŭs'təs) 
auklet	(ôk'lĭt) 
auk	(ôk) 
auld	(ôld) 
aunt	(ānt, änt) 
aural	(ôr'əl) 
aura	(ôr'ə) 
aurar	(ou'rär', ɶ'rär') 
aureate	(ôr'ē-ĭt) 
aureole	(ôr'ē-ōl') 
Aureomycin	(ôr'ē-ō-mī'sĭn) 
auricle	(ôr'ĭ-kəl) 
auric	(ôr'ĭk) 
auricula	(ô-rĭk'yə-lə) 
auricular	(ô-rĭk'yə-lər) 
Auriga	(ô-rī'gə) 
aurochs	(ou'rŏks', ôr'ŏks') 
aurora	(ə-rôr'ə) 
aurora	(ə-rôr'ə, ə-rōr'ə) 
Aurora	(ə-rôr'ə, ə-rōr'ə) 
aurous	(ôr'əs) 
auscultate	(ô'skəl-tāt') 
auscultation	(ô'skəl-tā'shən) 
ausform	(ôs'fôrm') 
auslander	(ou'slěn'dər, -slān'-) 
auspex	(ô'spěks') 
auspicate	(ô'spĭ-kāt') 
auspice	(ô'spĭs) 
auspicious	(ô-spĭsh'əs) 
Aussie	(ô'sē, ô'zē) 
austenite	(ô'stə-nīt') 
austere	(ô-stîr') 
austerity	(ô-stěr'ĭ-tē) 
Austerlitz	(ô'stər-lĭts', ous'tər-) 
Austin	(ô'stən) 
Austin	(ô'stən, ŏs'tən) 
Australasia	(ô'strə-lā'zhə, -shə) 
Australian	(ô-strāl'yən) 
Australia	(ô-strāl'yə) 
Australoid	(ô'strə-loid') 
australopithecine	(ô-strā'lō-pĭth'ĭ-sēn') 
australopithecine	(ô-strā'lō-pĭth'ĭ-sēn', -sīn') 
austral	(ô'strəl) 
Austrasia	(ô-strā'zhə, -shə) 
Austria	(ô'strē-ə) 
Austronesian	(ô'strō-nē'zhən, -shən) 
Austronesia	(ô'strō-nē'zhə, -shə) 
autarch	(ô'tärk) 
autarchy	(ô'tär'kē) 
autecology	(ô'tĭ-kŏl'ə-jē) 
auteurism	(ō-tûr'ĭz'əm) 
auteur	(ō-tûr', ō-tɶr') 
authenticate	(ô-thěn'tĭ-kāt') 
authenticity	(ô'thěn-tĭs'ĭ-tē) 
authoritarian	(ə-thôr'ĭ-târ'ē-ən, ə-thŏr'-, ô-thôr'-, ô-thŏr'-) 
authoritative	(ə-thôr'ĭ-tā'tĭv, ə-thŏr'-, ô-thôr'-, ô-thŏr'-) 
authority	(ə-thôr'ĭ-tē, ə-thŏr'-, ô-thôr'-, ô-thŏr'-) 
authorization	(ô'thər-ĭ-zā'shən) 
authorize	(ô'thə-rīz') 
author	(ô'thər) 
authorship	(ô'thər-shĭp') 
autism	(ô'tĭz'əm) 
autoantibody	(ô'tō-ān'tĭ-bŏd'ē) 
autobahn	(ô'tə-bän', ou'tō-) 
autobiography	(ô'tō-bī-ŏg'rə-fē) 
autobus	(ô'tō-bŭs') 
autocatalysis	(ô'tō-kə-tāl'ĭ-sĭs) 
autochthon	(ô-tŏk'thən) 
autochthonous	(ô-tŏk'thə-nəs) 
autoclave	(ô'tō-klāv') 
autocoid	(ô'tə-koid') 
autocracy	(ô-tŏk'rə-sē) 
autocrat	(ô'tə-krāt') 
autocross	(ô'tō-krôs', -krŏs') 
autodidact	(ô'tō-dī'dākt') 
autodyne	(ô'tə-dīn') 
autoecious	(ô-tē'shəs) 
autoerotism	(ô'tō-ěr'ə-tĭz'əm) 
autogamy	(ô-tŏg'ə-mē) 
autogenesis	(ô'tō-jěn'ĭ-sĭs) 
autogenous	(ô-tŏj'ə-nəs) 
autogeny	(ô-tōj'ə-nē) 
autograft	(ô'tō-grāft') 
autograph	(ô'tə-grāf') 
autography	(ô-tŏg'rə-fē) 
autogyro	(ô'tō-jī'rō) 
Autoharp	(ô'tō-härp') 
autohypnosis	(ô'tō-hĭp-nō'sĭs) 
autoimmune	(ô'tō-ĭ-myōōn') 
autoinfection	(ô'tō-ĭn-fěk'shən) 
autoinoculation	(ô'tō-ĭ-nŏk'yə-lā'shən) 
autointoxication	(ô'tō-ĭn-tŏk'sĭ-kā'shən) 
autolysate	(ô-tŏl'ĭ-sāt', -zāt') 
autolysin	(ô-tŏl'ĭ-sĭn, ô'tə-lī'sĭn) 
autolysis	(ô-tŏl'ĭ-sĭs) 
autolyze	(ô'tl-īz') 
automaker	(ô'tō-mā'kər) 
automate	(ô'tə-māt') 
automatic	(ô'tə-māt'ĭk) 
automation	(ô'tə-mā'shən) 
automatism	(ô-tŏm'ə-tĭz'əm) 
automatization	(ô-tŏm'ə-tĭ-zā'shən) 
automatize	(ô-tŏm'ə-tīz') 
automaton	(ô-tŏm'ə-tən, -tŏn') 
Automat	(ô'tə-māt') 
automobile	(ô'tə-mō-bēl', -mō'bēl') 
autonomic	(ô'tə-nŏm'ĭk) 
autonomy	(ô-tŏn'ə-mē) 
autonym	(ô'tə-nĭm') 
auto	(ô'tō) 
autopen	(ô'tō-pěn') 
autopilot	(ô'tō-pī'lət) 
autoplasty	(ô'tō-plās'tē) 
autopolyploid	(ô'tō-pŏl'ə-ploid') 
autopsy	(ô'tŏp'sē) 
autopsy	(ô'tŏp'sē, ô'təp-) 
autoradiogram	(ô'tō-rā'dē-ō-grām') 
autoradiograph	(ô'tō-rā'dē-ō-grāf') 
autoroute	(ô'tō-rōōt') 
autosome	(ô'tə-sōm') 
autostrada	(ô'tō-strä'də, ou'tō-) 
autosuggestion	(ô'tō-səg-jěs'chən) 
autotomy	(ô-tŏt'ə-mē) 
autotoxin	(ô'tō-tŏk'sĭn) 
autotransformer	(ô'tō-trāns-fôr'mər) 
autotroph	(ô'tə-trŏf') 
autotroph	(ô'tə-trŏf', -trōf') 
autoworker	(ô'tō-wŭr'kər) 
autumn	(ô'təm) 
autunite	(ō-tŭn'īt', ô'tə-nīt) 
Auvergne	(ō-vûrn', ō-věrn') 
auxesis	(ôg-zē'sĭs, ôk-sē'-) 
auxiliary	(ôg-zĭl'yə-rē, -zĭl'ə-rē) 
auxin	(ôk'sĭn) 
auxotrophic	(ôk'sə-trŏf'ĭk, -trō'fĭk) 
auxotroph	(ôk'sə-trŏf, -trōf') 
available	(ə-vā'lə-bəl) 
avail	(ə-vāl') 
avalanche	(āv'ə-lānch') 
avarice	(āv'ə-rĭs) 
avaricious	(āv'ə-rĭsh'əs) 
avascular	(ā-vās'kyə-lər) 
avast	(ə-vāst') 
avatar	(āv'ə-tär') 
avaunt	(ə-vônt', ə-vänt') 
Av	(äv, ôv) 
ave	(ä'vā) 
avenge	(ə-věnj') 
avens	(āv'ənz) 
aventurine	(ə-věn'chə-rēn', -rĭn) 
avenue	(āv'ə-nōō', -nyōō') 
average	(āv'ər-ĭj) 
average	(āv'ər-ĭj, āv'rĭj) 
aver	(ə-vûr') 
averse	(ə-vûrs') 
aversion	(ə-vûr'zhən, -shən) 
aversive	(ə-vûr'sĭv, -zĭv) 
avert	(ə-vûrt') 
Avesta	(ə-věs'tə) 
Avestan	(ə-věs'tən) 
avgas	(āv'gās') 
avian	(ā'vē-ən) 
aviary	(ā'vē-ěr'ē) 
aviate	(ā'vē-āt', āv'ē-) 
aviation	(ā'vē-ā'shən, āv'ē-) 
aviator	(ā'vē-ā'tər, āv'ē-) 
aviatrix	(ā'vē-ā'trĭks, āv'ē-) 
aviculture	(ā'vĭ-kŭl'chər, āv'ĭ-) 
avid	(āv'ĭd) 
avidin	(āv'ĭ-dĭn) 
avidity	(ə-vĭd'ĭ-tē) 
avifauna	(ā'və-fô'nə, āv'ə-) 
avionics	(ā'vē-ŏn'ĭks, āv'ē-) 
avirulent	(ā-vîr'yə-lənt, ā-vîr'ə-) 
avitaminosis	(ā-vī'tə-mĭ-nō'sĭs) 
avo	(ä'vōō) 
avocado	(āv'ə-kä'dō, ä'və-) 
avocation	(āv'ō-kā'shən) 
avocet	(āv'ə-sět') 
avoidance	(ə-void'ns) 
avoid	(ə-void') 
avoirdupois	(āv'ər-də-poiz') 
avoirdupois weight	(āv'ər-də-poiz') 
avouch	(ə-vouch') 
avowal	(ə-vou'əl) 
avow	(ə-vou') 
avulse	(ə-vŭls') 
avulsion	(ə-vŭl'shən) 
await	(ə-wāt') 
awake	(ə-wāk') 
awaken	(ə-wā'kən) 
awardee	(ə-wôr-dē') 
award	(ə-wôrd') 
aware	(ə-wâr') 
awash	(ə-wŏsh', ə-wôsh') 
away	(ə-wā') 
aweary	(ə-wîr'ē) 
aweigh	(ə-wā') 
awe	(ô) 
awesome	(ô'səm) 
awful	(ô'fəl) 
awhile	(ə-hwīl', ə-wīl') 
awkward	(ôk'wərd) 
awl	(ôl) 
awning	(ô'nĭng) 
awn	(ôn) 
awol	(ā'wôl')
AWOL	(ā'wôl')
awry	(ə-rī') 
ax	(āks) 
axe	(āks) 
axel	(āk'səl) 
axial	(āk'sē-əl) 
axil	(āk'sĭl) 
axile	(āk'sīl) 
axilla	(āk-sĭl'ə) 
axillar	(āk-sĭl'ər, āk'sə-lər) 
axillary	(āk'sə-lěr'ē) 
axiology	(āk'sē-ŏl'ə-jē) 
axiom	(āk'sē-əm) 
axiomatic	(āk'sē-ə-māt'ĭk) 
axion	(āk'sē-ŏn') 
axis	(āk'sĭs) 
axisymmetric	(āk'sē-sĭ-mět'rĭk) 
axle	(āk'səl) 
axletree	(āk'səl-trē') 
axman	(āks'mən) 
Axminster	(āks'mĭn'stər) 
axolotl	(āk'sə-lŏt'l) 
axon	(āk'sŏn') 
axoneme	(āk'sə-nēm') 
axoplasm	(āk'sə-plāz'əm) 
ay	(ā) 
ayah	(ä'yə, ā'ə, ī'ə) 
ayahuasca	(ī'yə-wä'skə, ä'yə-) 
ayatollah	(ī'yə-tō'lə, -tō-lä') 
aye	(ā) 
aye	(ī) 
ay	(ī) 
ayin	(ī'ĭn) 
Aymara	(ī'mä-rä', ī'mə-) 
Aymaran	(ī'mä-rän') 
Ayr	(âr) 
Ayrshire	(âr'shîr, -shər) 
Ayurveda	(ī'yər-vā'də, -vē'-) 
azalea	(ə-zāl'yə) 
azan	(ä-zän') 
Azania	(ə-zā'nē-ə) 
azathioprine	(āz'ə-thī'ə-prēn') 
azeotrope	(ə-zē'ə-trōp', ā'zē-) 
Azerbaijan	(āz'ər-bī-jän', ä'zər-) 
Azerbaijani	(āz'ər-bī-jä'nē, äz'ər-) 
Azeri	(ə-zěr'ē) 
azide	(āz'īd, ā'zīd) 
azidothymidine	(ə-zī'dō-thī'mĭ-dēn', ə-zē'-, āz'ĭ-) 
azimuth	(āz'ə-məth) 
azine	(āz'ēn', ā'zēn') 
azo	(āz'ō, ā'zō) 
azoic	(ā-zō'ĭk) 
azole	(āz'ōl', ā'zōl') 
Azores	(ā'zôrz, ā'zōrz, ə-zôrz', ə-zōrz') 
azote	(āz'ōt, ā'zŏt, ə-zōt') 
azotemia	(āz'ə-tē'mē-ə, ā'zə-) 
azoth	(āz'ŏth, -ôth) 
azotobacter	(ā-zō'tə-bāk'tər) 
azoturia	(āz'ə-tŏŏr'ē-ə, -tyŏŏr'-) 
AZT	(ā'zē-tē') 
Aztec	(āz'těk') 
azure	(āzh'ər) 
azurite	(āzh'ə-rīt') 
azygous	(ā-zī'gəs) 
baa	(bā, bä) 
Baal	(bä'äl', bäl, bāl) 
baba	(bä'bə) 
Babar	(bä'bər)
Babar	(bä'bər) 
babassu	(bä'bə-sōō') 
Bab	(bäb, bāb) 
Babbitt	(bāb'ĭt) 
babble	(bāb'əl) 
babbler	(bāb'lər) 
babe	(bāb) 
Babel	(bā'bəl, bāb'əl) 
Baber	(bä'bər)
babesia	(bə-bē'zhə) 
babesiosis	(bə-bē'zē-ō'sĭs) 
babiche	(bə-bēsh') 
Babism	(bä'bĭz'əm) 
babka	(bäb'kə) 
baboo	(bä'bōō) 
baboon	(bā-bōōn') 
babul	(bə-bōōl') 
Babur	(bä'bər)
babushka	(bə-bŏŏsh'kə) 
baby	(bā'bē) 
Babylon	(bāb'ə-lən, -lŏn') 
Babylonia	(bāb'ə-lō'nē-ə, -lōn'yə) 
Babylonian	(bāb'ə-lō'nē-ən) 
baccalaureate	(bāk'ə-lôr'ē-ĭt) 
baccarat	(bä'kə-rä', bāk'ə-) 
baccate	(bāk'āt') 
bacchanal	(bāk'ə-nāl', -näl', bāk'ə-nəl) 
Bacchanalia	(bāk'ə-nāl'yə, -nā'lē-ə) 
bacchant	(bə-kānt', -känt', bāk'ənt) 
bacchante	(bə-kān'tē, -kän'-, -kānt', -känt') 
Bacchic	(bāk'ĭk) 
Bacchus	(bāk'əs) 
Bach	(bäKH, bäk) 
bachelor	(bāch'ə-lər, bāch'lər) 
bachelorette	(bāch'ə-lə-rět', bāch'lə-) 
bacillus	(bə-sĭl'əs) 
bacitracin	(bās'ĭ-trā'sĭn) 
backache	(bāk'āk') 
back	(bāk) 
backbeat	(bāk'bēt') 
backbench	(bāk'běnch') 
backbite	(bāk'bīt') 
backboard	(bāk'bôrd', -bōrd') 
backbone	(bāk'bōn') 
backbreaking	(bāk'brā'kĭng) 
backcloth	(bāk'klôth,-klŏth) 
backcountry	(bāk'kŭn'trē) 
backcourt	(bāk'kôrt', -kōrt') 
backcross	(bāk'krôs', -krŏs') 
backdate	(bāk'dāt') 
backdrop	(bāk'drŏp') 
backer	(bāk'ər) 
backfield	(bāk'fēld') 
backfill	(bāk'fĭl') 
backfire	(bāk'fīr') 
backfit	(bāk'fĭt') 
backflip	(bāk'flĭp') 
backflow	(bāk'flō') 
backgammon	(bāk'gām'ən) 
background	(bāk'ground') 
backgrounder	(bāk'groun'dər) 
backhand	(bāk'hānd') 
backhanded	(bāk'hān'dĭd) 
backhoe	(bāk'hō') 
backing	(bāk'ĭng) 
backlash	(bāk'lāsh') 
backlight	(bāk'līt') 
backlist	(bāk'lĭst') 
backlog	(bāk'lŏg', -lôg') 
backpack	(bāk'pāk') 
backpedal	(bāk'pěd'l) 
backrest	(bāk'rěst') 
backroom	(bāk'rōōm', -rŏŏm') 
backrush	(bāk'rŭsh') 
backsaw	(bāk'sô') 
backscatter	(bāk'skāt'ər) 
backset	(bāk'sět') 
backshore	(bāk'shôr') 
backshore	(bāk'shôr', -shōr') 
backside	(bāk'sīd') 
backslap	(bāk'slāp') 
backslash	(bāk'slāsh') 
backslide	(bāk'slīd') 
backspace	(bāk'spās') 
backspin	(bāk'spĭn') 
backsplash	(bāk'splāsh') 
backstab	(bāk'stāb') 
backstage	(bāk'stāj') 
backstairs	(bāk'stârz') 
backstay	(bāk'stā') 
backstitch	(bāk'stĭch') 
backstop	(bāk'stŏp') 
backstretch	(bāk'strěch') 
backstroke	(bāk'strōk') 
backswept	(bāk'swěpt') 
backswimmer	(bāk'swĭm'ər) 
backswing	(bāk'swĭng') 
backsword	(bāk'sôrd', -sōrd') 
backtrack	(bāk'trāk') 
backup	(bāk'ŭp') 
backward	(bāk'wərd) 
backwash	(bāk'wŏsh', -wôsh') 
backwater	(bāk'wô'tər, -wŏt'ər) 
backwoods	(bāk'wŏŏdz') 
bacon	(bā'kən) 
Bacon	(bā'kən) 
Baconian	(bā-kō'nē-ən) 
bacteremia	(bāk'tə-rē'mē-ə) 
bacteria	(bāk-tîr'ē-ə) 
bactericide	(bāk-tîr'ĭ-sīd') 
bacterin	(bāk'tər-ĭn) 
bacteriocin	(bāk-tîr'ē-ə-sĭn') 
bacteriology	(bāk-tîr'ē-ŏl'ə-jē) 
bacteriolysis	(bāk-tîr'ē-ŏl'ĭ-sĭs) 
bacteriophage	(bāk-tîr'ē-ə-fāj') 
bacteriorhodopsin	(bāk-tîr'ē-ō-rō-dŏp'sĭn) 
bacteriostasis	(bāk-tîr'ē-ō-stā'sĭs) 
bacteriostat	(bāk-tîr'ē-ə-stāt') 
bacterium	(bāk-tîr'ē-əm) 
bacteriuria	(bāk-tîr'ē-yŏŏr'ē-ə) 
bacterize	(bāk'tə-rīz') 
bacteroid	(bāk'tə-roid') 
Bactrian	(bāk'trē-ən) 
badass	(bād'ās') 
bad	(bād) 
baddie	(bād'ē) 
bade	(bād, bād) 
badge	(bāj) 
badger	(bāj'ər) 
badinage	(bād'n-äzh') 
badlands	(bād'lāndz') 
badly	(bād'lē) 
badminton	(bād'mĭn'tən, -mĭt'n) 
Baedeker	(bā'dĭ-kər) 
bael	(běl, bāl, bĭl) 
baffle	(bāf'əl) 
bafflegab	(bāf'əl-gāb') 
bagasse	(bə-gās') 
bagatelle	(bāg'ə-těl') 
bag	(bāg) 
Bagdad	(bāg'dād')
Bagdad	(bāg'dād') 
bagel	(bā'gəl) 
baggage	(bāg'ĭj) 
bagging	(bāg'ĭng) 
baggy	(bāg'ē) 
Baghdad	(bāg'dād')
bagman	(bāg'mən) 
bagnio	(bān'yō, bän'-) 
bagpipe	(bāg'pīp') 
baguette	(bā-gět') 
Baguio	(bä'gē-ō') 
bagwig	(bāg'wĭg') 
bagworm	(bāg'wûrm') 
Baha'i	(bä-hä'ē, bə-hī') 
Bahamas	(bə-hä'məz) 
bah	(bä, bā) 
Bahia	(bə-hē'ə, bä-ē'ə) 
baht	(bät) 
bahuvrihi	(bŭ'hōō-vrē'hē) 
bailable	(bā'lə-bəl) 
bail	(bāl) 
bailee	(bā-lē') 
bailey	(bā'lē) 
Bailey	(bā'lē) 
bailie	(bā'lē) 
bailiff	(bā'lĭf) 
bailiwick	(bā'lə-wĭk') 
bailment	(bāl'mənt) 
bailor	(bā'lər, bā-lôr') 
bailout	(bāl'out') 
bailsman	(bālz'mən) 
bairn	(bârn) 
bait	(bāt) 
baitfish	(bāt'fĭsh') 
baize	(bāz) 
Bajan	(bā'jən) 
bake	(bāk) 
Bakelite	(bā'kə-līt', bāk'līt') 
baker	(bā'kər) 
Baker	(bā'kər) 
bakersheet	(bā'kər-shēt') 
bakery	(bā'kə-rē) 
bakeshop	(bāk'shŏp') 
baklava	(bä'klə-vä', bä'klə-vä') 
baksheesh	(bāk'shēsh', bāk-shēsh') 
Baku	(bä-kōō') 
balaclava	(bāl'ə-klä'və) 
Balaclava	(bāl'ə-klāv'ə, -klä'və) 
balalaika	(bāl'ə-lī'kə) 
balance	(bāl'əns) 
Balance	(bāl'əns) 
balancer	(bāl'ən-sər) 
balas	(bāl'əs) 
balata	(bə-lä'tə) 
balboa	(bāl-bō'ə) 
Balboa	(bāl-bō'ə) 
balbriggan	(bāl-brĭg'ən) 
balcony	(bāl'kə-nē) 
baldachin	(bôl'də-kĭn, bāl'-) 
bald	(bôld) 
Balder	(bôl'dər)
balderdash	(bôl'dər-dāsh') 
baldhead	(bôld'hěd') 
baldpate	(bôld'pāt') 
baldric	(bôl'drĭk) 
Baldur	(bôl'dər)
Baldwin	(bôld'wĭn) 
bale	(bāl) 
baleen	(bə-lēn') 
baleful	(bāl'fəl) 
Bali	(bä'lē) 
Balinese	(bä'lə-nēz', -nēs') 
Balkan	(bôl'kən) 
balkanize	(bôl'kə-nīz')
Balkanize	(bôl'kə-nīz')
balk	(bôk) 
balky	(bô'kē) 
ballad	(bāl'əd) 
ballade	(bə-läd', bā-) 
balladeer	(bāl'ə-dîr') 
balladist	(bāl'ə-dĭst') 
balladry	(bāl'ə-drē) 
ball-and-socket joint	(bôl'ən-sŏk'ĭt) 
ballast	(bāl'əst) 
ball	(bôl) 
Ball	(bôl) 
ballerina	(bāl'ə-rē'nə) 
ballet	(bā-lā', bāl'ā') 
balletomane	(bā-lět'ə-mān') 
ballflower	(bôl'flou'ər) 
ballista	(bə-lĭs'tə) 
ballistic	(bə-lĭs'tĭk) 
ballistics	(bə-lĭs'tĭks) 
ballistocardiogram	(bə-lĭs'tō-kär'dē-ə-grām') 
ballistocardiograph	(bə-lĭs'tō-kär'dē-ə-grāf') 
ballon	(bā-lôɴ') 
ballonet	(bāl'ə-nā') 
balloon	(bə-lōōn') 
ballot	(bāl'ət) 
ballottement	(bə-lŏt'mənt) 
ballpark	(bôl'pärk') 
ballplayer	(bôl'plā'ər) 
ballpoint	(bôl'point') 
ballroom	(bôl'rōōm', -rŏŏm') 
ballsy	(bôl'zē) 
ballyhoo	(bāl'ē-hōō') 
ballyrag	(bāl'ē-rāg') 
balmacaan	(bāl'mə-kān', -kän') 
balm	(bäm) 
Balmoral	(bāl-môr'əl, -mŏr'-) 
balmy	(bä'mē) 
balneology	(bāl'nē-ŏl'ə-jē) 
baloney	(bə-lō'nē) 
balsa	(bôl'sə) 
balsam	(bôl'səm) 
balsamroot	(bôl'səm-rōōt', -rŏŏt') 
Baltic	(bôl'tĭk) 
Baltimore	(bôl'tə-môr') 
Baltimore	(bôl'tə-môr', -mōr') 
Baluchi	(bə-lōō'chē) 
baluster	(bāl'ə-stər) 
balustrade	(bāl'ə-strād') 
Balzac	(bôl'zāk', bāl'-, bäl-zäk') 
Bamako	(bä'mə-kō') 
Bambara	(bäm-bä'rä) 
